open_date,close_date,days_held,signal,sig_type,entry,exit,sl,tp,rr,lots,risk_usd,pnl,result,rsi,adx,atr,dist_ema9,dist_ema21,dist_sma20,confidence,equity_after,reason
2025-03-03,2025-03-14,11,LONG,PULLBACK_EMA21,2858.61,2988.69,2793.57,2988.69,2.0,0.09,578.79,1156.95,WIN,40.7,38.7,43.36,0.97,0.42,-0.87,85,30096.25,Pullback EMA21 uptrend | RSI=40.7 ADX=38.7
2025-03-04,2025-03-18,14,LONG,PULLBACK_EMA21,2893.95,3018.87,2831.49,3018.87,2.0,0.09,578.79,1156.95,WIN,49.2,34.5,41.64,0.13,0.37,-0.15,82,31253.2,Pullback EMA21 uptrend | RSI=49.2 ADX=34.5
2025-03-05,2025-03-19,14,LONG,TREND,2917.48,3042.58,2854.93,3042.58,2.0,0.09,578.79,1156.95,WIN,52.3,32.0,41.7,0.35,0.85,0.33,69,32410.15,Trend LONG near EMA9 | RSI=52.3 ADX=32.0
2025-04-10,2025-04-16,6,LONG,TREND,3079.47,3261.45,2988.48,3261.45,2.0,0.07,648.2,1295.91,WIN,54.3,35.3,60.66,0.49,0.84,0.57,69,33706.06,Trend LONG near EMA9 | RSI=54.3 ADX=35.3
2025-05-06,2025-05-14,8,LONG,TREND,3331.52,3204.74,3204.74,3585.08,2.0,0.05,674.12,-674.47,LOSS,58.6,35.2,84.52,0.47,1.01,0.92,69,33031.59,Trend LONG near EMA9 | RSI=58.6 ADX=35.2
2025-05-09,2025-05-14,5,LONG,PULLBACK_EMA21,3307.81,3171.13,3171.13,3581.17,2.0,0.05,674.12,-674.47,LOSS,48.7,29.5,91.12,0.19,0.35,0.01,82,32357.12,Pullback EMA21 uptrend | RSI=48.7 ADX=29.5
2025-05-05,2025-09-01,119,LONG,PULLBACK_EMA21,3238.96,3482.23,3117.32,3482.23,2.0,0.06,674.12,1347.82,WIN,50.4,37.0,81.09,0.53,0.01,-0.0,82,33704.94,Pullback EMA21 uptrend | RSI=50.4 ADX=37.0
2025-10-23,2025-10-28,5,LONG,TREND,4102.31,3924.28,3924.28,4458.38,2.0,0.04,674.1,-674.38,LOSS,61.7,61.3,118.69,0.44,0.63,0.69,69,33030.56,Trend LONG near EMA9 | RSI=61.7 ADX=61.3
2025-10-24,2025-10-28,4,LONG,TREND,4119.62,3937.82,3937.82,4483.22,2.0,0.04,674.1,-674.38,LOSS,61.3,59.2,121.2,0.23,0.69,0.67,69,32356.18,Trend LONG near EMA9 | RSI=61.3 ADX=59.2
2025-10-27,2025-10-28,1,LONG,TREND,4110.99,3927.69,3927.69,4477.59,2.0,0.04,674.1,-674.38,LOSS,57.8,56.1,122.2,0.24,0.56,0.45,69,31681.8,Trend LONG near EMA9 | RSI=57.8 ADX=56.1
2025-10-31,2025-12-22,52,LONG,PULLBACK_EMA21,4025.66,4431.83,3822.58,4431.83,2.0,0.03,633.64,1267.07,WIN,50.7,40.5,135.39,0.14,0.03,-0.41,82,32948.87,Pullback EMA21 uptrend | RSI=50.7 ADX=40.5
2025-11-03,2025-12-22,49,LONG,PULLBACK_EMA21,4002.78,4401.87,3803.23,4401.87,2.0,0.03,633.64,1267.07,WIN,44.4,36.2,133.03,0.25,0.13,-0.63,85,34215.94,Pullback EMA21 uptrend | RSI=44.4 ADX=36.2
2025-11-04,2025-12-22,48,LONG,PULLBACK_EMA21,4001.77,4396.18,3804.57,4396.18,2.0,0.03,633.64,1267.07,WIN,42.5,31.6,131.47,0.21,0.13,-0.66,85,35483.01,Pullback EMA21 uptrend | RSI=42.5 ADX=31.6
2025-12-31,2026-01-12,12,LONG,TREND,4346.76,4598.67,4220.81,4598.67,2.0,0.06,709.66,1418.9,WIN,62.0,40.3,83.97,0.48,0.31,0.39,69,36901.91,Trend LONG near EMA9 | RSI=62.0 ADX=40.3
2026-01-02,2026-01-12,10,LONG,TREND,4314.79,4575.64,4184.36,4575.64,2.0,0.05,709.66,1418.97,WIN,57.4,39.0,86.95,0.66,0.06,-0.05,69,38320.88,Trend LONG near EMA9 | RSI=57.4 ADX=39.0
2026-01-05,2026-01-12,7,LONG,TREND,4330.73,4593.89,4199.15,4593.89,2.0,0.05,709.66,1418.97,WIN,54.4,37.4,87.72,0.38,0.11,0.06,69,39739.85,Trend LONG near EMA9 | RSI=54.4 ADX=37.4
2026-01-12,2026-01-21,9,LONG,TREND,4510.39,4788.82,4371.17,4788.82,2.0,0.06,794.8,1589.18,WIN,61.9,30.8,92.81,0.72,1.39,1.26,69,41329.03,Trend LONG near EMA9 | RSI=61.9 ADX=30.8
2026-01-19,2026-01-21,2,LONG,TREND,4594.78,4871.59,4456.37,4871.59,2.0,0.06,794.8,1589.18,WIN,54.7,23.5,92.27,0.48,1.4,1.38,65,42918.21,Trend LONG near EMA9 | RSI=54.7 ADX=23.5
2026-02-04,2026-03-19,43,LONG,TREND,4939.11,4581.47,4581.47,5654.4,2.0,0.02,858.36,-858.5,LOSS,58.6,47.0,238.43,0.06,0.5,0.56,69,42059.71,Trend LONG near EMA9 | RSI=58.6 ADX=47.0
2026-02-05,2026-03-19,42,LONG,TREND,4963.59,4584.9,4584.9,5720.97,2.0,0.02,858.36,-858.5,LOSS,59.4,45.5,252.46,0.03,0.51,0.53,69,41201.21,Trend LONG near EMA9 | RSI=59.4 ADX=45.5
2026-02-09,2026-03-19,38,LONG,TREND,4960.5,4538.46,4538.46,5804.58,2.0,0.02,858.36,-858.5,LOSS,56.7,41.9,281.36,0.12,0.43,0.33,69,40342.71,Trend LONG near EMA9 | RSI=56.7 ADX=41.9
